test_type,round_tag,seed,attack_ratio,total,tampered_count,method,accuracy,precision,recall,f1
combined,140,43,0.01,100,1,contentOnly,100.00,100.00,100.00,100.00
combined,140,43,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
combined,141,43,0.05,100,5,contentOnly,99.00,100.00,80.00,88.89
combined,141,43,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
combined,142,43,0.1,100,10,contentOnly,98.00,100.00,80.00,88.89
combined,142,43,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
combined,143,43,0.25,100,25,contentOnly,95.00,100.00,80.00,88.89
combined,143,43,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
combined,144,20,0.01,100,1,contentOnly,99.00,NA,0.00,NA
combined,144,20,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
combined,145,20,0.05,100,5,contentOnly,98.00,100.00,60.00,75.00
combined,145,20,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
combined,146,20,0.1,100,10,contentOnly,96.00,100.00,60.00,75.00
combined,146,20,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
combined,147,20,0.25,100,25,contentOnly,93.00,100.00,72.00,83.72
combined,147,20,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
combined,148,33,0.01,100,1,contentOnly,100.00,100.00,100.00,100.00
combined,148,33,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
combined,149,33,0.05,100,5,contentOnly,99.00,100.00,80.00,88.89
combined,149,33,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
combined,150,33,0.1,100,10,contentOnly,97.00,100.00,70.00,82.35
combined,150,33,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
combined,151,33,0.25,100,25,contentOnly,93.00,100.00,72.00,83.72
combined,151,33,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
combined,152,13,0.01,100,1,contentOnly,100.00,100.00,100.00,100.00
combined,152,13,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
combined,153,13,0.05,100,5,contentOnly,97.00,100.00,40.00,57.14
combined,153,13,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
combined,154,13,0.1,100,10,contentOnly,97.00,100.00,70.00,82.35
combined,154,13,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
combined,155,13,0.25,100,25,contentOnly,92.00,100.00,68.00,80.95
combined,155,13,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
combined,156,25,0.01,100,1,contentOnly,100.00,100.00,100.00,100.00
combined,156,25,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
combined,157,25,0.05,100,5,contentOnly,99.00,100.00,80.00,88.89
combined,157,25,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
combined,158,25,0.1,100,10,contentOnly,97.00,100.00,70.00,82.35
combined,158,25,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
combined,159,25,0.25,100,25,contentOnly,93.00,100.00,72.00,83.72
combined,159,25,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
