round_tag,seed,attack_ratio,total,tampered_count,method,accuracy,precision,recall,f1
20,43,0.01,100,1,contentOnly,99.00,0.00,0.00,0.00
20,43,0.01,100,1,dualLayer,100.00,100.00,100.00,100.00
21,43,0.05,100,5,contentOnly,95.00,0.00,0.00,0.00
21,43,0.05,100,5,dualLayer,100.00,100.00,100.00,100.00
22,43,0.1,100,10,contentOnly,90.00,0.00,0.00,0.00
22,43,0.1,100,10,dualLayer,100.00,100.00,100.00,100.00
23,43,0.25,100,25,contentOnly,75.00,0.00,0.00,0.00
23,43,0.25,100,25,dualLayer,100.00,100.00,100.00,100.00
24,20,0.01,100,1,contentOnly,99.00,0.00,0.00,0.00
24,20,0.01,100,1,dualLayer,100.00,100.00,100.00,100.00
25,20,0.05,100,5,contentOnly,95.00,0.00,0.00,0.00
25,20,0.05,100,5,dualLayer,100.00,100.00,100.00,100.00
26,20,0.1,100,10,contentOnly,90.00,0.00,0.00,0.00
26,20,0.1,100,10,dualLayer,100.00,100.00,100.00,100.00
27,20,0.25,100,25,contentOnly,75.00,0.00,0.00,0.00
27,20,0.25,100,25,dualLayer,100.00,100.00,100.00,100.00
28,33,0.01,100,1,contentOnly,99.00,0.00,0.00,0.00
28,33,0.01,100,1,dualLayer,100.00,100.00,100.00,100.00
29,33,0.05,100,5,contentOnly,95.00,0.00,0.00,0.00
29,33,0.05,100,5,dualLayer,100.00,100.00,100.00,100.00
30,33,0.1,100,10,contentOnly,90.00,0.00,0.00,0.00
30,33,0.1,100,10,dualLayer,100.00,100.00,100.00,100.00
31,33,0.25,100,25,contentOnly,75.00,0.00,0.00,0.00
31,33,0.25,100,25,dualLayer,100.00,100.00,100.00,100.00
32,13,0.01,100,1,contentOnly,99.00,0.00,0.00,0.00
32,13,0.01,100,1,dualLayer,100.00,100.00,100.00,100.00
33,13,0.05,100,5,contentOnly,95.00,0.00,0.00,0.00
33,13,0.05,100,5,dualLayer,100.00,100.00,100.00,100.00
34,13,0.1,100,10,contentOnly,90.00,0.00,0.00,0.00
34,13,0.1,100,10,dualLayer,100.00,100.00,100.00,100.00
35,13,0.25,100,25,contentOnly,75.00,0.00,0.00,0.00
35,13,0.25,100,25,dualLayer,100.00,100.00,100.00,100.00
36,25,0.01,100,1,contentOnly,99.00,0.00,0.00,0.00
36,25,0.01,100,1,dualLayer,100.00,100.00,100.00,100.00
37,25,0.05,100,5,contentOnly,95.00,0.00,0.00,0.00
37,25,0.05,100,5,dualLayer,100.00,100.00,100.00,100.00
38,25,0.1,100,10,contentOnly,90.00,0.00,0.00,0.00
38,25,0.1,100,10,dualLayer,100.00,100.00,100.00,100.00
39,25,0.25,100,25,contentOnly,75.00,0.00,0.00,0.00
39,25,0.25,100,25,dualLayer,100.00,100.00,100.00,100.00
