test_type,round_tag,seed,attack_ratio,total,tampered_count,method,accuracy,precision,recall,f1
t1_only,100,43,0.01,100,1,contentOnly,100.00,100.00,100.00,100.00
t1_only,100,43,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
t1_only,101,43,0.05,100,5,contentOnly,100.00,100.00,100.00,100.00
t1_only,101,43,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
t1_only,102,43,0.1,100,10,contentOnly,100.00,100.00,100.00,100.00
t1_only,102,43,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
t1_only,103,43,0.25,100,25,contentOnly,100.00,100.00,100.00,100.00
t1_only,103,43,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
t1_only,104,20,0.01,100,1,contentOnly,100.00,100.00,100.00,100.00
t1_only,104,20,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
t1_only,105,20,0.05,100,5,contentOnly,100.00,100.00,100.00,100.00
t1_only,105,20,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
t1_only,106,20,0.1,100,10,contentOnly,100.00,100.00,100.00,100.00
t1_only,106,20,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
t1_only,107,20,0.25,100,25,contentOnly,100.00,100.00,100.00,100.00
t1_only,107,20,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
t1_only,108,33,0.01,100,1,contentOnly,100.00,100.00,100.00,100.00
t1_only,108,33,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
t1_only,109,33,0.05,100,5,contentOnly,100.00,100.00,100.00,100.00
t1_only,109,33,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
t1_only,110,33,0.1,100,10,contentOnly,100.00,100.00,100.00,100.00
t1_only,110,33,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
t1_only,111,33,0.25,100,25,contentOnly,100.00,100.00,100.00,100.00
t1_only,111,33,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
t1_only,112,13,0.01,100,1,contentOnly,100.00,100.00,100.00,100.00
t1_only,112,13,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
t1_only,113,13,0.05,100,5,contentOnly,100.00,100.00,100.00,100.00
t1_only,113,13,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
t1_only,114,13,0.1,100,10,contentOnly,100.00,100.00,100.00,100.00
t1_only,114,13,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
t1_only,115,13,0.25,100,25,contentOnly,100.00,100.00,100.00,100.00
t1_only,115,13,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
t1_only,116,25,0.01,100,1,contentOnly,100.00,100.00,100.00,100.00
t1_only,116,25,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
t1_only,117,25,0.05,100,5,contentOnly,100.00,100.00,100.00,100.00
t1_only,117,25,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
t1_only,118,25,0.1,100,10,contentOnly,100.00,100.00,100.00,100.00
t1_only,118,25,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
t1_only,119,25,0.25,100,25,contentOnly,100.00,100.00,100.00,100.00
t1_only,119,25,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
