round,seed,attack_ratio,total,attacked_count,clean_count,v0_false_accept,v0_far,v4_detected,v4_detection_rate,v4_layer1_reject,v4_layer1_reject_rate
0,43,0.01,100,1,99,1,1,1,1,1,1
1,20,0.01,100,1,99,1,1,1,1,1,1
2,33,0.01,100,1,99,1,1,1,1,1,1
3,13,0.01,100,1,99,1,1,1,1,1,1
4,25,0.01,100,1,99,1,1,1,1,1,1
5,43,0.05,100,5,95,5,1,5,1,5,1
6,20,0.05,100,5,95,5,1,5,1,5,1
7,33,0.05,100,5,95,5,1,5,1,5,1
8,13,0.05,100,5,95,5,1,5,1,5,1
9,25,0.05,100,5,95,5,1,5,1,5,1
10,43,0.1,100,10,90,10,1,10,1,10,1
11,20,0.1,100,10,90,10,1,10,1,10,1
12,33,0.1,100,10,90,10,1,10,1,10,1
13,13,0.1,100,10,90,10,1,10,1,10,1
14,25,0.1,100,10,90,10,1,10,1,10,1
15,43,0.25,100,25,75,25,1,25,1,25,1
16,20,0.25,100,25,75,25,1,25,1,25,1
17,33,0.25,100,25,75,25,1,25,1,25,1
18,13,0.25,100,25,75,25,1,25,1,25,1
19,25,0.25,100,25,75,25,1,25,1,25,1
