test_type,round_tag,seed,attack_ratio,total,tampered_count,variant,accuracy,precision,recall,specificity,false_positive_rate,f1
combined,0,43,0.01,100,1,V0,100.00,100.00,100.00,100.00,0.00,100.00
combined,0,43,0.01,100,1,V1,100.00,100.00,100.00,100.00,0.00,100.00
combined,0,43,0.01,100,1,V2,100.00,100.00,100.00,100.00,0.00,100.00
combined,0,43,0.01,100,1,V3,100.00,100.00,100.00,100.00,0.00,100.00
combined,0,43,0.01,100,1,V4,100.00,100.00,100.00,100.00,0.00,100.00
combined,1,43,0.05,100,5,V0,99.00,100.00,80.00,100.00,0.00,88.89
combined,1,43,0.05,100,5,V1,98.00,100.00,60.00,100.00,0.00,75.00
combined,1,43,0.05,100,5,V2,98.00,100.00,60.00,100.00,0.00,75.00
combined,1,43,0.05,100,5,V3,98.00,100.00,60.00,100.00,0.00,75.00
combined,1,43,0.05,100,5,V4,100.00,100.00,100.00,100.00,0.00,100.00
combined,2,43,0.1,100,10,V0,97.00,100.00,70.00,100.00,0.00,82.35
combined,2,43,0.1,100,10,V1,95.00,100.00,50.00,100.00,0.00,66.67
combined,2,43,0.1,100,10,V2,95.00,100.00,50.00,100.00,0.00,66.67
combined,2,43,0.1,100,10,V3,95.00,100.00,50.00,100.00,0.00,66.67
combined,2,43,0.1,100,10,V4,100.00,100.00,100.00,100.00,0.00,100.00
combined,3,43,0.25,100,25,V0,88.00,100.00,52.00,100.00,0.00,68.42
combined,3,43,0.25,100,25,V1,94.00,100.00,76.00,100.00,0.00,86.36
combined,3,43,0.25,100,25,V2,94.00,100.00,76.00,100.00,0.00,86.36
combined,3,43,0.25,100,25,V3,94.00,100.00,76.00,100.00,0.00,86.36
combined,3,43,0.25,100,25,V4,100.00,100.00,100.00,100.00,0.00,100.00
combined,4,20,0.01,100,1,V0,100.00,100.00,100.00,100.00,0.00,100.00
combined,4,20,0.01,100,1,V1,99.00,NA,0.00,100.00,0.00,NA
combined,4,20,0.01,100,1,V2,99.00,NA,0.00,100.00,0.00,NA
combined,4,20,0.01,100,1,V3,99.00,NA,0.00,100.00,0.00,NA
combined,4,20,0.01,100,1,V4,100.00,100.00,100.00,100.00,0.00,100.00
combined,5,20,0.05,100,5,V0,100.00,100.00,100.00,100.00,0.00,100.00
combined,5,20,0.05,100,5,V1,96.00,100.00,20.00,100.00,0.00,33.33
combined,5,20,0.05,100,5,V2,96.00,100.00,20.00,100.00,0.00,33.33
combined,5,20,0.05,100,5,V3,96.00,100.00,20.00,100.00,0.00,33.33
