test_type,round_tag,seed,attack_ratio,total,tampered_count,variant,accuracy,precision,recall,specificity,false_positive_rate,f1
t1_only,0,43,0.01,100,1,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,0,43,0.01,100,1,V1,99.00,NA,0.00,100.00,0.00,NA
t1_only,0,43,0.01,100,1,V2,99.00,NA,0.00,100.00,0.00,NA
t1_only,0,43,0.01,100,1,V3,99.00,NA,0.00,100.00,0.00,NA
t1_only,0,43,0.01,100,1,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,1,43,0.05,100,5,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,1,43,0.05,100,5,V1,95.00,NA,0.00,100.00,0.00,NA
t1_only,1,43,0.05,100,5,V2,95.00,NA,0.00,100.00,0.00,NA
t1_only,1,43,0.05,100,5,V3,95.00,NA,0.00,100.00,0.00,NA
t1_only,1,43,0.05,100,5,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,2,43,0.1,100,10,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,2,43,0.1,100,10,V1,90.00,NA,0.00,100.00,0.00,NA
t1_only,2,43,0.1,100,10,V2,90.00,NA,0.00,100.00,0.00,NA
t1_only,2,43,0.1,100,10,V3,90.00,NA,0.00,100.00,0.00,NA
t1_only,2,43,0.1,100,10,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,3,43,0.25,100,25,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,3,43,0.25,100,25,V1,75.00,NA,0.00,100.00,0.00,NA
t1_only,3,43,0.25,100,25,V2,75.00,NA,0.00,100.00,0.00,NA
t1_only,3,43,0.25,100,25,V3,75.00,NA,0.00,100.00,0.00,NA
t1_only,3,43,0.25,100,25,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,4,20,0.01,100,1,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,4,20,0.01,100,1,V1,99.00,NA,0.00,100.00,0.00,NA
t1_only,4,20,0.01,100,1,V2,99.00,NA,0.00,100.00,0.00,NA
t1_only,4,20,0.01,100,1,V3,99.00,NA,0.00,100.00,0.00,NA
t1_only,4,20,0.01,100,1,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,5,20,0.05,100,5,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,5,20,0.05,100,5,V1,95.00,NA,0.00,100.00,0.00,NA
t1_only,5,20,0.05,100,5,V2,95.00,NA,0.00,100.00,0.00,NA
t1_only,5,20,0.05,100,5,V3,95.00,NA,0.00,100.00,0.00,NA
t1_only,5,20,0.05,100,5,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,6,20,0.1,100,10,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,6,20,0.1,100,10,V1,90.00,NA,0.00,100.00,0.00,NA
t1_only,6,20,0.1,100,10,V2,90.00,NA,0.00,100.00,0.00,NA
t1_only,6,20,0.1,100,10,V3,90.00,NA,0.00,100.00,0.00,NA
t1_only,6,20,0.1,100,10,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,7,20,0.25,100,25,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,7,20,0.25,100,25,V1,75.00,NA,0.00,100.00,0.00,NA
t1_only,7,20,0.25,100,25,V2,75.00,NA,0.00,100.00,0.00,NA
t1_only,7,20,0.25,100,25,V3,75.00,NA,0.00,100.00,0.00,NA
t1_only,7,20,0.25,100,25,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,8,33,0.01,100,1,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,8,33,0.01,100,1,V1,99.00,NA,0.00,100.00,0.00,NA
t1_only,8,33,0.01,100,1,V2,99.00,NA,0.00,100.00,0.00,NA
t1_only,8,33,0.01,100,1,V3,99.00,NA,0.00,100.00,0.00,NA
t1_only,8,33,0.01,100,1,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,9,33,0.05,100,5,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,9,33,0.05,100,5,V1,95.00,NA,0.00,100.00,0.00,NA
t1_only,9,33,0.05,100,5,V2,95.00,NA,0.00,100.00,0.00,NA
t1_only,9,33,0.05,100,5,V3,95.00,NA,0.00,100.00,0.00,NA
t1_only,9,33,0.05,100,5,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,10,33,0.1,100,10,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,10,33,0.1,100,10,V1,90.00,NA,0.00,100.00,0.00,NA
t1_only,10,33,0.1,100,10,V2,90.00,NA,0.00,100.00,0.00,NA
t1_only,10,33,0.1,100,10,V3,90.00,NA,0.00,100.00,0.00,NA
t1_only,10,33,0.1,100,10,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,11,33,0.25,100,25,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,11,33,0.25,100,25,V1,75.00,NA,0.00,100.00,0.00,NA
t1_only,11,33,0.25,100,25,V2,75.00,NA,0.00,100.00,0.00,NA
t1_only,11,33,0.25,100,25,V3,75.00,NA,0.00,100.00,0.00,NA
t1_only,11,33,0.25,100,25,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,12,13,0.01,100,1,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,12,13,0.01,100,1,V1,99.00,NA,0.00,100.00,0.00,NA
t1_only,12,13,0.01,100,1,V2,99.00,NA,0.00,100.00,0.00,NA
t1_only,12,13,0.01,100,1,V3,99.00,NA,0.00,100.00,0.00,NA
t1_only,12,13,0.01,100,1,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,13,13,0.05,100,5,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,13,13,0.05,100,5,V1,95.00,NA,0.00,100.00,0.00,NA
t1_only,13,13,0.05,100,5,V2,95.00,NA,0.00,100.00,0.00,NA
t1_only,13,13,0.05,100,5,V3,95.00,NA,0.00,100.00,0.00,NA
t1_only,13,13,0.05,100,5,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,14,13,0.1,100,10,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,14,13,0.1,100,10,V1,90.00,NA,0.00,100.00,0.00,NA
t1_only,14,13,0.1,100,10,V2,90.00,NA,0.00,100.00,0.00,NA
t1_only,14,13,0.1,100,10,V3,90.00,NA,0.00,100.00,0.00,NA
t1_only,14,13,0.1,100,10,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,15,13,0.25,100,25,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,15,13,0.25,100,25,V1,75.00,NA,0.00,100.00,0.00,NA
t1_only,15,13,0.25,100,25,V2,75.00,NA,0.00,100.00,0.00,NA
t1_only,15,13,0.25,100,25,V3,75.00,NA,0.00,100.00,0.00,NA
t1_only,15,13,0.25,100,25,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,16,25,0.01,100,1,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,16,25,0.01,100,1,V1,99.00,NA,0.00,100.00,0.00,NA
t1_only,16,25,0.01,100,1,V2,99.00,NA,0.00,100.00,0.00,NA
t1_only,16,25,0.01,100,1,V3,99.00,NA,0.00,100.00,0.00,NA
t1_only,16,25,0.01,100,1,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,17,25,0.05,100,5,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,17,25,0.05,100,5,V1,95.00,NA,0.00,100.00,0.00,NA
t1_only,17,25,0.05,100,5,V2,95.00,NA,0.00,100.00,0.00,NA
t1_only,17,25,0.05,100,5,V3,95.00,NA,0.00,100.00,0.00,NA
t1_only,17,25,0.05,100,5,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,18,25,0.1,100,10,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,18,25,0.1,100,10,V1,90.00,NA,0.00,100.00,0.00,NA
t1_only,18,25,0.1,100,10,V2,90.00,NA,0.00,100.00,0.00,NA
t1_only,18,25,0.1,100,10,V3,90.00,NA,0.00,100.00,0.00,NA
t1_only,18,25,0.1,100,10,V4,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,19,25,0.25,100,25,V0,100.00,100.00,100.00,100.00,0.00,100.00
t1_only,19,25,0.25,100,25,V1,75.00,NA,0.00,100.00,0.00,NA
t1_only,19,25,0.25,100,25,V2,75.00,NA,0.00,100.00,0.00,NA
t1_only,19,25,0.25,100,25,V3,75.00,NA,0.00,100.00,0.00,NA
t1_only,19,25,0.25,100,25,V4,100.00,100.00,100.00,100.00,0.00,100.00
