NAME                                                                                                  CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O
dev-peer1.org1.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22   0.00%     11.23MiB / 3.518GiB   226kB / 114kB     15.2MB / 0B
dev-peer0.org1.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22   0.00%     13.45MiB / 3.518GiB   6.11MB / 2.4MB    15.2MB / 0B
dev-peer1.org2.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22   0.00%     10.09MiB / 3.518GiB   10.7kB / 10.7kB   14.4MB / 0B
dev-peer0.org2.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22   0.00%     9.965MiB / 3.518GiB   11.3kB / 11.1kB   15MB / 0B
cli                                                                                                   0.00%     2.238MiB / 3.518GiB   2.13kB / 126B     2.42MB / 0B
peer0.org1.esign.com                                                                                  3.06%     134.5MiB / 3.518GiB   45.2MB / 42MB     26.2MB / 32.9MB
peer1.org2.esign.com                                                                                  2.89%     120.6MiB / 3.518GiB   17.4MB / 5.28MB   19.2MB / 13.8MB
peer1.org1.esign.com                                                                                  3.07%     144.1MiB / 3.518GiB   20.2MB / 19.5MB   31.9MB / 32.8MB
peer0.org2.esign.com                                                                                  2.79%     117.1MiB / 3.518GiB   17.5MB / 17.7MB   16.2MB / 14MB
orderer.esign.com                                                                                     0.14%     47.89MiB / 3.518GiB   13.2MB / 25.4MB   71.1MB / 24.9MB
nats.org1.esign.com                                                                                   0.44%     7.113MiB / 3.518GiB   4.43kB / 126B     3.64MB / 0B
couchdb.peer1.org2                                                                                    1.01%     90.77MiB / 3.518GiB   912kB / 723kB     21.8MB / 9.42MB
nats.org2.esign.com                                                                                   0.09%     12.38MiB / 3.518GiB   4.47kB / 126B     12MB / 0B
couchdb.peer1.org1                                                                                    0.42%     101.5MiB / 3.518GiB   1.96MB / 1.31MB   25.9MB / 17MB
couchdb.peer0.org2                                                                                    0.64%     98.96MiB / 3.518GiB   914kB / 724kB     27.9MB / 9.46MB
couchdb.peer0.org1                                                                                    2.46%     101.8MiB / 3.518GiB   1.97MB / 1.31MB   30.9MB / 16.8MB
