Timestamp,Name,CPUPerc,MemUsage,NetIO,BlockIO
2026-04-30 14:59:28,bold_shamir,0.21%,220.2MiB / 7.133GiB,642kB / 42.7kB,65.1MB / 5.87MB
2026-04-30 14:59:28,dev-peer0.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,24.86MiB / 7.133GiB,4.81MB / 4.12MB,16.8MB / 57.3kB
2026-04-30 14:59:28,dev-peer1.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,4.02MiB / 7.133GiB,14.3kB / 10.1kB,8.19MB / 786kB
2026-04-30 14:59:28,dev-peer1.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,2.422MiB / 7.133GiB,15.2kB / 11.1kB,8.2MB / 2.41MB
2026-04-30 14:59:28,dev-peer0.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,17.14MiB / 7.133GiB,14.3kB / 10.2kB,16MB / 664kB
2026-04-30 14:59:28,app-node,0.00%,14.58MiB / 7.133GiB,94.8kB / 58.4kB,55.2MB / 33MB
2026-04-30 14:59:28,cli,0.00%,1.887MiB / 7.133GiB,6.88kB / 126B,1.2MB / 0B
2026-04-30 14:59:28,peer0.org2.esign.com,1.18%,101.2MiB / 7.133GiB,12.3MB / 5.77MB,14.1MB / 15.2MB
2026-04-30 14:59:28,peer1.org2.esign.com,1.34%,73.52MiB / 7.133GiB,12.3MB / 12.3MB,26.9MB / 40.7MB
2026-04-30 14:59:28,peer1.org1.esign.com,1.39%,98.44MiB / 7.133GiB,17.4MB / 8.79MB,9.41MB / 67MB
2026-04-30 14:59:28,peer0.org1.esign.com,1.36%,107.3MiB / 7.133GiB,32MB / 37.5MB,7.88MB / 61.1MB
2026-04-30 14:59:28,couchdb.peer0.org1,0.41%,46.81MiB / 7.133GiB,4.77MB / 4.46MB,24.6MB / 89.7MB
2026-04-30 14:59:28,couchdb.peer1.org2,0.46%,45.61MiB / 7.133GiB,2.02MB / 2.07MB,33.5MB / 56.1MB
2026-04-30 14:59:28,couchdb.peer0.org2,0.44%,46.66MiB / 7.133GiB,2.02MB / 2.08MB,19.4MB / 50.3MB
2026-04-30 14:59:28,couchdb.peer1.org1,0.43%,69.38MiB / 7.133GiB,4.73MB / 4.07MB,24.2MB / 71.5MB
2026-04-30 14:59:28,nats.org1.esign.com,3.53%,9.301MiB / 7.133GiB,40kB / 44.4kB,6.69MB / 315kB
2026-04-30 14:59:28,orderer.esign.com,0.06%,16.72MiB / 7.133GiB,7.03MB / 13.5MB,45.1MB / 26.3MB
2026-04-30 14:59:28,nats.org2.esign.com,3.14%,7.773MiB / 7.133GiB,40.8kB / 45.7kB,7.34MB / 741kB
2026-04-30 14:59:36,bold_shamir,35.08%,216MiB / 7.133GiB,822kB / 51.5kB,65.2MB / 8.11MB
2026-04-30 14:59:36,dev-peer0.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,24.86MiB / 7.133GiB,4.81MB / 4.12MB,16.8MB / 57.3kB
2026-04-30 14:59:36,dev-peer1.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,4.02MiB / 7.133GiB,14.3kB / 10.1kB,8.19MB / 786kB
2026-04-30 14:59:36,dev-peer1.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,2.422MiB / 7.133GiB,15.2kB / 11.1kB,8.2MB / 2.41MB
2026-04-30 14:59:36,dev-peer0.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,17.14MiB / 7.133GiB,14.3kB / 10.2kB,16MB / 664kB
2026-04-30 14:59:36,app-node,0.00%,14.58MiB / 7.133GiB,94.8kB / 58.4kB,55.2MB / 33MB
2026-04-30 14:59:36,cli,0.00%,1.887MiB / 7.133GiB,6.88kB / 126B,1.2MB / 0B
2026-04-30 14:59:36,peer0.org2.esign.com,1.39%,101.9MiB / 7.133GiB,12.4MB / 5.8MB,14.1MB / 15.2MB
2026-04-30 14:59:36,peer1.org2.esign.com,1.36%,74MiB / 7.133GiB,12.4MB / 12.3MB,26.9MB / 40.7MB
2026-04-30 14:59:36,peer1.org1.esign.com,1.37%,97.87MiB / 7.133GiB,17.4MB / 8.82MB,9.42MB / 67MB
2026-04-30 14:59:36,peer0.org1.esign.com,1.43%,106.8MiB / 7.133GiB,32.1MB / 37.6MB,7.88MB / 61.1MB
2026-04-30 14:59:36,couchdb.peer0.org1,0.44%,46.82MiB / 7.133GiB,4.77MB / 4.46MB,24.6MB / 89.7MB
2026-04-30 14:59:36,couchdb.peer1.org2,0.41%,45.62MiB / 7.133GiB,2.02MB / 2.07MB,33.5MB / 56.1MB
2026-04-30 14:59:36,couchdb.peer0.org2,0.44%,46.3MiB / 7.133GiB,2.02MB / 2.08MB,19.4MB / 50.3MB
2026-04-30 14:59:36,couchdb.peer1.org1,0.52%,69.63MiB / 7.133GiB,4.73MB / 4.07MB,24.2MB / 71.5MB
2026-04-30 14:59:36,nats.org1.esign.com,0.22%,8.453MiB / 7.133GiB,40kB / 44.4kB,6.69MB / 315kB
2026-04-30 14:59:36,orderer.esign.com,0.11%,16.72MiB / 7.133GiB,7.03MB / 13.5MB,45.1MB / 26.3MB
2026-04-30 14:59:36,nats.org2.esign.com,0.05%,7.805MiB / 7.133GiB,40.8kB / 45.7kB,7.34MB / 741kB
2026-04-30 14:59:44,bold_shamir,20.85%,524.1MiB / 7.133GiB,1.8MB / 245kB,68.8MB / 11.7MB
2026-04-30 14:59:44,dev-peer0.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,1.84%,27.45MiB / 7.133GiB,4.88MB / 4.19MB,17.4MB / 57.3kB
2026-04-30 14:59:44,dev-peer1.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,4.02MiB / 7.133GiB,14.4kB / 10.2kB,8.19MB / 786kB
2026-04-30 14:59:44,dev-peer1.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,2.422MiB / 7.133GiB,15.3kB / 11.2kB,8.2MB / 2.41MB
2026-04-30 14:59:44,dev-peer0.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,17.14MiB / 7.133GiB,14.4kB / 10.2kB,16MB / 664kB
2026-04-30 14:59:44,app-node,0.00%,14.68MiB / 7.133GiB,96.3kB / 60.2kB,55.2MB / 33MB
2026-04-30 14:59:44,cli,0.00%,1.887MiB / 7.133GiB,6.92kB / 126B,1.2MB / 0B
2026-04-30 14:59:44,peer0.org2.esign.com,1.49%,100MiB / 7.133GiB,12.4MB / 5.84MB,14.1MB / 15.2MB
2026-04-30 14:59:44,peer1.org2.esign.com,1.36%,73.76MiB / 7.133GiB,12.4MB / 12.3MB,27MB / 40.7MB
2026-04-30 14:59:44,peer1.org1.esign.com,2.72%,98MiB / 7.133GiB,17.5MB / 8.86MB,9.44MB / 68.2MB
2026-04-30 14:59:44,peer0.org1.esign.com,11.58%,109.9MiB / 7.133GiB,32.4MB / 37.9MB,9.2MB / 61.9MB
2026-04-30 14:59:44,couchdb.peer0.org1,0.37%,46.84MiB / 7.133GiB,4.77MB / 4.46MB,24.6MB / 89.7MB
2026-04-30 14:59:44,couchdb.peer1.org2,0.36%,45.64MiB / 7.133GiB,2.02MB / 2.07MB,33.5MB / 56.1MB
2026-04-30 14:59:44,couchdb.peer0.org2,0.41%,46.32MiB / 7.133GiB,2.02MB / 2.08MB,19.4MB / 50.3MB
2026-04-30 14:59:44,couchdb.peer1.org1,0.50%,69.44MiB / 7.133GiB,4.73MB / 4.07MB,24.2MB / 71.5MB
2026-04-30 14:59:44,nats.org1.esign.com,0.22%,8.246MiB / 7.133GiB,40.9kB / 45.1kB,6.69MB / 315kB
2026-04-30 14:59:44,orderer.esign.com,1.37%,19.68MiB / 7.133GiB,7.12MB / 13.5MB,45.5MB / 26.3MB
2026-04-30 14:59:44,nats.org2.esign.com,0.05%,7.316MiB / 7.133GiB,41.8kB / 46.4kB,7.35MB / 741kB
2026-04-30 14:59:52,bold_shamir,18.80%,546.2MiB / 7.133GiB,2.2MB / 908kB,68.8MB / 11.7MB
2026-04-30 14:59:52,dev-peer0.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,2.95%,28MiB / 7.133GiB,5.17MB / 4.44MB,17.5MB / 57.3kB
