label,n,mean_ms,std_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,failed
unlabeled,100,1684.48,501.75,1345.29061,2403.665389,2484.317834,397.573196,2666.724836,0
idle,100,1699,498.51,1430.570086,2331.615213,2443.929559,287.62197,2546.53457,0
idle,100,1629.33,475.96,1355.783723,2357.09244,2433.098657,292.555813,2462.401457,0
10tps,100,1717.13,561.68,1419.968168,2822.14581,2953.106625,423.535624,3077.140668,0
25tps,100,1682.06,609.89,1392.445242,2883.295843,3053.54621,320.534582,3210.01481,0
50tps,100,1761.22,758.57,1349.899492,3371.905864,3753.892249,324.64678,3770.366172,0
100tps,100,1991.18,1234.32,1405.28292,5185.123278,5918.265346,370.767272,6025.589026,0
idle,100,1538.75,438.4,1671.782022,2080.250723,2353.808896,555.25545,2553.36953,0
idle,100,1719.52,497.15,1444,2415,2437,480,2618,0
idle,100,1589.17,456.87,1353,2335,2377,353,2454,0
10tps,100,1636.72,532.96,1353,2596,2653,391,2672,0
25tps,100,1731.81,571.87,1448,2732,2914,496,2941,0
50tps,100,1814.84,763.99,1409,3490,3760,503,3771,0
100tps,100,1992.04,1172.81,1382,4916,5613,558,5628,0
